INPUT,TARGET
"Ces longs soupirs que laisse échapper votre cœur,","Et ces fixes regards si chargés de langueur,"
"Et ces fixes regards si chargés de langueur,",Disent beaucoup sans doute à des gens de mon âge ;
Disent beaucoup sans doute à des gens de mon âge ;,"Et je pense, Seigneur, entendre ce langage :"
"Et je pense, Seigneur, entendre ce langage :","Mais sans votre congé de peur de trop risquer,"
"Mais sans votre congé de peur de trop risquer,",Je n’ose m’enhardir jusques à l’expliquer.
Je n’ose m’enhardir jusques à l’expliquer.,"Explique, explique Arbate, avec toute licence"
"Explique, explique Arbate, avec toute licence","Ces soupirs, ces regards, et ce morne silence :"
"Ces soupirs, ces regards, et ce morne silence :",Je te permets ici de dire que l’Amour
Je te permets ici de dire que l’Amour,"M’a rangé sous ses lois, et me brave à son tour :"
"M’a rangé sous ses lois, et me brave à son tour :",Et je consens encor que tu me fasses honte
Et je consens encor que tu me fasses honte,Des faiblesses d’un cœur qui souffre qu’on le dompte.
Des faiblesses d’un cœur qui souffre qu’on le dompte.,"Moi vous blâmer, Seigneur, des tendres mouvements,"
"Moi vous blâmer, Seigneur, des tendres mouvements,",Où je vois qu’aujourd’hui penchent vos sentiments ;
Où je vois qu’aujourd’hui penchent vos sentiments ;,Le chagrin des vieux jours ne peut aigrir mon âme
Le chagrin des vieux jours ne peut aigrir mon âme,"Contre les doux transports de l’amoureuse flamme,"
"Contre les doux transports de l’amoureuse flamme,","Et bien que mon sort touche à ses derniers Soleils,"
"Et bien que mon sort touche à ses derniers Soleils,",Je dirai que l’Amour sied bien à vos pareils :
Je dirai que l’Amour sied bien à vos pareils :,Que ce tribut qu’on rend aux traits d’un beau visage
Que ce tribut qu’on rend aux traits d’un beau visage,"De la beauté d’une âme est un clair témoignage,"
"De la beauté d’une âme est un clair témoignage,",Et qu’il est malaisé que sans être amoureux
Et qu’il est malaisé que sans être amoureux,Un jeune Prince soit et grand et généreux :
Un jeune Prince soit et grand et généreux :,"C’est une qualité que j’aime en un Monarque,"
"C’est une qualité que j’aime en un Monarque,","La tendresse de cœur est une grande marque,"
"La tendresse de cœur est une grande marque,",Et je crois que d’un Prince on peut tout présumer
Et je crois que d’un Prince on peut tout présumer,Dès qu’on voit que son âme est capable d’aimer.
Dès qu’on voit que son âme est capable d’aimer.,Oui cette passion de toutes la plus belle
Oui cette passion de toutes la plus belle,"Traîne dans un esprit cent vertus après elle,"
"Traîne dans un esprit cent vertus après elle,","Aux nobles actions elle pousse les cœurs,"
"Aux nobles actions elle pousse les cœurs,",Et tous les grands Héros ont senti ses ardeurs ;
Et tous les grands Héros ont senti ses ardeurs ;,"Devant mes yeux, Seigneur, a passé votre enfance,"
"Devant mes yeux, Seigneur, a passé votre enfance,",Et j’ai de vos vertus vu fleurir l’espérance ;
Et j’ai de vos vertus vu fleurir l’espérance ;,Mes regards observaient en vous des qualités
Mes regards observaient en vous des qualités,Où je reconnaissais le sang dont vous sortez ;
Où je reconnaissais le sang dont vous sortez ;,"J’y découvrais un fonds d’esprit et de lumière,"
"J’y découvrais un fonds d’esprit et de lumière,","Je vous trouvais bien fait, l’air grand, et l’âme fière ;"
"Je vous trouvais bien fait, l’air grand, et l’âme fière ;","Votre cœur, votre adresse éclataient chaque jour :"
"Votre cœur, votre adresse éclataient chaque jour :","Mais je m’inquiétais de ne voir point d’amour,"
"Mais je m’inquiétais de ne voir point d’amour,",Et puisque les langueurs d’une plaie invincible
Et puisque les langueurs d’une plaie invincible,"Nous montrent que votre âme à ses traits est sensible,"
"Nous montrent que votre âme à ses traits est sensible,","Je triomphe, et mon cœur d’allégresse rempli"
"Je triomphe, et mon cœur d’allégresse rempli",Vous regarde à présent comme un Prince accompli.
Vous regarde à présent comme un Prince accompli.,"Si de l’Amour un temps j’ai bravé la puissance,"
"Si de l’Amour un temps j’ai bravé la puissance,","Hélas ! mon cher Arbate, il en prend bien vengeance !"
"Hélas ! mon cher Arbate, il en prend bien vengeance !","Et sachant dans quels maux mon cœur s’est abîmé,"
"Et sachant dans quels maux mon cœur s’est abîmé,","Toi-même, tu voudrais qu’il n’eût jamais aimé :"
"Toi-même, tu voudrais qu’il n’eût jamais aimé :","Car enfin vois le sort où mon Astre me guide,"
"Car enfin vois le sort où mon Astre me guide,","J’aime, j’aime ardemment la Princesse d’Élide,"
"J’aime, j’aime ardemment la Princesse d’Élide,",Et tu sais quel orgueil sous des traits si charmants
Et tu sais quel orgueil sous des traits si charmants,Arme contre l’Amour ses jeunes sentiments ;
Arme contre l’Amour ses jeunes sentiments ;,Et comment elle fuit en cette illustre Fête
Et comment elle fuit en cette illustre Fête,Cette foule d’amants qui briguent sa conquête.
Cette foule d’amants qui briguent sa conquête.,Ah ! Qu’il est bien peu vrai que ce qu’on doit aimer
Ah ! Qu’il est bien peu vrai que ce qu’on doit aimer,"Aussitôt qu’on le voit prend droit de nous charmer,"
"Aussitôt qu’on le voit prend droit de nous charmer,",Et qu’un premier coup d’œil allume en nous les flammes
Et qu’un premier coup d’œil allume en nous les flammes,Où le Ciel en naissant a destiné nos âmes.
Où le Ciel en naissant a destiné nos âmes.,"À mon retour d’Argos je passai dans ces lieux,"
"À mon retour d’Argos je passai dans ces lieux,",Et ce passage offrit la Princesse à mes yeux ;
Et ce passage offrit la Princesse à mes yeux ;,Je vis tous les appas dont elle est revêtue
Je vis tous les appas dont elle est revêtue,Mais de l’œil dont on voit une belle Statue :
Mais de l’œil dont on voit une belle Statue :,Leur brillante jeunesse observée à loisir
Leur brillante jeunesse observée à loisir,"Ne porta dans mon âme aucun secret désir,"
"Ne porta dans mon âme aucun secret désir,",Et d’Ithaque en repos je revis le rivage
Et d’Ithaque en repos je revis le rivage,Sans m’en être en deux ans rappelé nulle Image :
Sans m’en être en deux ans rappelé nulle Image :,Un bruit vient cependant à répandre à ma Cour
Un bruit vient cependant à répandre à ma Cour,Le célèbre mépris qu’elle fait de l’Amour ;
Le célèbre mépris qu’elle fait de l’Amour ;,On publie en tous lieux que son âme hautaine
On publie en tous lieux que son âme hautaine,"Garde pour l’Hyménée une invincible haine,"
"Garde pour l’Hyménée une invincible haine,","Et qu’un Arc à la main, sur l’épaule un Carquois,"
"Et qu’un Arc à la main, sur l’épaule un Carquois,","Comme une autre Diane elle hante les bois,"
"Comme une autre Diane elle hante les bois,","N’aime rien que la Chasse, et de toute la Grèce"
"N’aime rien que la Chasse, et de toute la Grèce",Fait soupirer en vain l’héroïque jeunesse.
Fait soupirer en vain l’héroïque jeunesse.,"Admire nos esprits, et la fatalité,"
"Admire nos esprits, et la fatalité,","Ce que n’avait point fait sa vue et sa beauté,"
"Ce que n’avait point fait sa vue et sa beauté,",Le bruit de ses fiertés en mon âme fit naître
Le bruit de ses fiertés en mon âme fit naître,"Un transport inconnu, dont je ne fus point maître ;"
"Un transport inconnu, dont je ne fus point maître ;",Ce dédain si fameux eut des charmes secrets
Ce dédain si fameux eut des charmes secrets,"À me faire avec soin rappeler tous ses traits,"
"À me faire avec soin rappeler tous ses traits,",Et mon esprit jetant de nouveaux yeux sur elle
Et mon esprit jetant de nouveaux yeux sur elle,"M’en refit une image et si noble, et si belle ;"
"M’en refit une image et si noble, et si belle ;","Me peignit tant de gloire, et de telles douceurs"
"Me peignit tant de gloire, et de telles douceurs","À pouvoir triompher de toutes ses froideurs,"
"À pouvoir triompher de toutes ses froideurs,",Que mon cœur aux brillants d’une telle victoire
Que mon cœur aux brillants d’une telle victoire,Vit de sa liberté s’évanouir la gloire ;
Vit de sa liberté s’évanouir la gloire ;,"Contre une telle amorce il eut beau s’indigner,"
"Contre une telle amorce il eut beau s’indigner,","Sa douceur sur mes sens prit tel droit de régner,"
"Sa douceur sur mes sens prit tel droit de régner,",Qu’entraîné par l’effort d’une occulte puissance
Qu’entraîné par l’effort d’une occulte puissance,"J’ai d’Ithaque en ces lieux fait voile en diligence,"
"J’ai d’Ithaque en ces lieux fait voile en diligence,",Et je couvre un effet de mes vœux enflammés
Et je couvre un effet de mes vœux enflammés,"Du désir de paraître à ses Jeux renommés,"
"Du désir de paraître à ses Jeux renommés,","Où l’illustre Iphitas, Père de la Princesse,"
"Où l’illustre Iphitas, Père de la Princesse,",Assemble la plupart des Princes de la Grèce.
Assemble la plupart des Princes de la Grèce.,"Mais à quoi bon, Seigneur, les soins que vous prenez ?"
"Mais à quoi bon, Seigneur, les soins que vous prenez ?",Et pourquoi ce secret où vous vous obstinez ?
Et pourquoi ce secret où vous vous obstinez ?,"Vous aimez, dites-vous, cette illustre Princesse,"
"Vous aimez, dites-vous, cette illustre Princesse,","Et venez à ses yeux signaler votre adresse,"
"Et venez à ses yeux signaler votre adresse,","Et nuls empressements, paroles, ni soupirs"
"Et nuls empressements, paroles, ni soupirs",Ne l’ont instruite encor de vos brûlants désirs.
Ne l’ont instruite encor de vos brûlants désirs.,Pour moi je n’entends rien à cette politique
Pour moi je n’entends rien à cette politique,"Qui ne veut point souffrir que votre cœur s’explique,"
"Qui ne veut point souffrir que votre cœur s’explique,",Et je ne sais quel fruit peut prétendre un amour
Et je ne sais quel fruit peut prétendre un amour,Qui fuit tous les moyens de se produire au jour.
Qui fuit tous les moyens de se produire au jour.,"Et que ferai-je, Arbate, en déclarant ma peine,"
"Et que ferai-je, Arbate, en déclarant ma peine,",Qu’attirer les dédains de cette âme hautaine ?
Qu’attirer les dédains de cette âme hautaine ?,Et me jeter au rang de ces Princes soumis
Et me jeter au rang de ces Princes soumis,Que le titre d’amants lui peint en ennemis ?
Que le titre d’amants lui peint en ennemis ?,Tu vois les Souverains de Messène et de Pyle
Tu vois les Souverains de Messène et de Pyle,"Lui faire de leurs cœurs un hommage inutile,"
"Lui faire de leurs cœurs un hommage inutile,",Et de l’éclat pompeux des plus hautes vertus
Et de l’éclat pompeux des plus hautes vertus,En appuyer en vain les respects assidus :
En appuyer en vain les respects assidus :,"Ce rebut de leurs soins, sous un triste silence,"
"Ce rebut de leurs soins, sous un triste silence,",Retient de mon amour toute la violence ;
Retient de mon amour toute la violence ;,"Je me tiens condamné dans ces Rivaux fameux,"
"Je me tiens condamné dans ces Rivaux fameux,",Et je lis mon arrêt au mépris qu’on fait d’eux.
Et je lis mon arrêt au mépris qu’on fait d’eux.,"Et c’est dans ce mépris, et dans cette humeur fière"
"Et c’est dans ce mépris, et dans cette humeur fière","Que votre âme à ses vœux doit voir plus de lumière,"
"Que votre âme à ses vœux doit voir plus de lumière,",Puisque le sort vous donne à conquérir un cœur
Puisque le sort vous donne à conquérir un cœur,"Que défend seulement une jeune froideur,"
"Que défend seulement une jeune froideur,",Et qui n’impose point à l’ardeur qui vous presse
Et qui n’impose point à l’ardeur qui vous presse,De quelque attachement l’invincible tendresse :
De quelque attachement l’invincible tendresse :,Un cœur préoccupé résiste puissamment ;
Un cœur préoccupé résiste puissamment ;,"Mais quand une âme est libre, on la force aisément,"
"Mais quand une âme est libre, on la force aisément,",Et toute la fierté de son indifférence
Et toute la fierté de son indifférence,N’a rien dont ne triomphe un peu de patience.
N’a rien dont ne triomphe un peu de patience.,"Ne lui cachez donc plus le pouvoir de ses yeux,"
"Ne lui cachez donc plus le pouvoir de ses yeux,","Faites de votre flamme un éclat glorieux,"
"Faites de votre flamme un éclat glorieux,","Et bien loin de trembler de l’exemple des autres,"
"Et bien loin de trembler de l’exemple des autres,",Du rebut de leurs vœux enflez l’espoir des vôtres :
Du rebut de leurs vœux enflez l’espoir des vôtres :,"Peut-être pour toucher ses sévères appas,"
"Peut-être pour toucher ses sévères appas,",Aurez-vous des secrets que ces Princes n’ont pas ;
Aurez-vous des secrets que ces Princes n’ont pas ;,Et si de ses fiertés l’impérieux caprice
Et si de ses fiertés l’impérieux caprice,"Ne vous fait éprouver un destin plus propice,"
"Ne vous fait éprouver un destin plus propice,",Au moins est-ce un bonheur en ces extrémités
Au moins est-ce un bonheur en ces extrémités,Que de voir avec soi ses Rivaux rebutés.
Que de voir avec soi ses Rivaux rebutés.,"J’aime à te voir presser cet aveu de ma flamme,"
"J’aime à te voir presser cet aveu de ma flamme,","Combattant mes raisons tu chatouilles mon âme,"
"Combattant mes raisons tu chatouilles mon âme,",Et par ce que j’ai dit je voulais pressentir
Et par ce que j’ai dit je voulais pressentir,Si de ce que j’ai fait tu pourrais m’applaudir :
Si de ce que j’ai fait tu pourrais m’applaudir :,"Car, enfin, puisqu’il faut t’en faire confidence,"
"Car, enfin, puisqu’il faut t’en faire confidence,","On doit à la Princesse expliquer mon silence,"
"On doit à la Princesse expliquer mon silence,",Et peut-être au moment que je t’en parle ici
Et peut-être au moment que je t’en parle ici,"Le secret de mon cœur, Arbate, est éclairci."
"Le secret de mon cœur, Arbate, est éclairci.","Cette Chasse, où pour fuir la foule qui l’adore,"
"Cette Chasse, où pour fuir la foule qui l’adore,","Tu sais qu’elle est allée au lever de l’Aurore,"
"Tu sais qu’elle est allée au lever de l’Aurore,","Est le temps que Moron pour déclarer mon feu,"
"Est le temps que Moron pour déclarer mon feu,",A pris…
A pris…,"Moron, Seigneur."
"Moron, Seigneur.",Ce choix t’étonne un peu ;
Ce choix t’étonne un peu ;,"Par son titre de fou tu crois le bien connaître,"
"Par son titre de fou tu crois le bien connaître,","Mais sache qu’il l’est moins qu’il ne le veut paraître,"
"Mais sache qu’il l’est moins qu’il ne le veut paraître,",Et que malgré l’emploi qu’il exerce aujourd’hui
Et que malgré l’emploi qu’il exerce aujourd’hui,Il a plus de bon sens que tel qui rit de lui :
Il a plus de bon sens que tel qui rit de lui :,"La Princesse se plaît à ses bouffonneries,"
"La Princesse se plaît à ses bouffonneries,","Il s’en est fait aimer par cent plaisanteries,"
"Il s’en est fait aimer par cent plaisanteries,",Et peut dans cet accès dire et persuader
Et peut dans cet accès dire et persuader,Ce que d’autres que lui n’oseraient hasarder ;
Ce que d’autres que lui n’oseraient hasarder ;,"Je le vois propre, enfin, à ce que j’en souhaite,"
"Je le vois propre, enfin, à ce que j’en souhaite,","Il a pour moi, dit-il, une amitié parfaite,"
"Il a pour moi, dit-il, une amitié parfaite,",Et veut (dans mes États ayant reçu le jour)
Et veut (dans mes États ayant reçu le jour),Contre tous mes Rivaux appuyer mon amour :
Contre tous mes Rivaux appuyer mon amour :,Quelque argent mis en main pour soutenir ce zèle…
Quelque argent mis en main pour soutenir ce zèle…, Au secours ! sauvez-moi de la bête cruelle !
 Au secours ! sauvez-moi de la bête cruelle !, Je pense ouïr sa voix ?
 Je pense ouïr sa voix ?," À moi, de grâce, à moi !"
" À moi, de grâce, à moi !","C’est lui-même, où court-il avec un tel effroi ?"
"C’est lui-même, où court-il avec un tel effroi ?",Où pourrai-je éviter ce Sanglier redoutable ?
Où pourrai-je éviter ce Sanglier redoutable ?,Grands Dieux ! préservez-moi de sa dent effroyable !
Grands Dieux ! préservez-moi de sa dent effroyable !,"Je vous promets, pourvu qu’il ne m’attrape pas,"
"Je vous promets, pourvu qu’il ne m’attrape pas,","Quatre livres d’encens, et deux veaux des plus gras."
"Quatre livres d’encens, et deux veaux des plus gras.",Ha ! je suis mort !
Ha ! je suis mort !,Qu’as-tu ?
Qu’as-tu ?,Je vous croyais la bête
Je vous croyais la bête,"Dont à me diffamer j’ai vu la gueule prête,"
"Dont à me diffamer j’ai vu la gueule prête,","Seigneur, et je ne puis revenir de ma peur."
"Seigneur, et je ne puis revenir de ma peur.",Qu’est-ce ?
Qu’est-ce ?,Ô ! que la Princesse est d’une étrange humeur !
Ô ! que la Princesse est d’une étrange humeur !,Et qu’à suivre la Chasse et ses extravagances
Et qu’à suivre la Chasse et ses extravagances,Il nous faut essuyer de sottes complaisances !
Il nous faut essuyer de sottes complaisances !,Quel Diable de plaisir trouvent tous les Chasseurs
Quel Diable de plaisir trouvent tous les Chasseurs,"De se voir exposés à mille et mille peurs,"
"De se voir exposés à mille et mille peurs,",Encore si c’était qu’on ne fût qu’à la Chasse
Encore si c’était qu’on ne fût qu’à la Chasse,"Des Lièvres, des Lapins, et des jeunes Daims, passe ;"
"Des Lièvres, des Lapins, et des jeunes Daims, passe ;","Ce sont des animaux d’un naturel fort doux,"
"Ce sont des animaux d’un naturel fort doux,",Et qui prennent toujours la fuite devant nous :
Et qui prennent toujours la fuite devant nous :,Mais aller attaquer de ces bêtes vilaines
Mais aller attaquer de ces bêtes vilaines,"Qui n’ont aucun respect pour les faces humaines,"
"Qui n’ont aucun respect pour les faces humaines,","Et qui courent les gens qui les veulent courir,"
"Et qui courent les gens qui les veulent courir,",C’est un sot passe-temps que je ne puis souffrir.
C’est un sot passe-temps que je ne puis souffrir.,Dis-nous donc ce que c’est ?
Dis-nous donc ce que c’est ?,Le pénible exercice
Le pénible exercice,Où de notre Princesse a volé le caprice !…
Où de notre Princesse a volé le caprice !…,"J’en aurais bien juré qu’elle aurait fait le tour,"
"J’en aurais bien juré qu’elle aurait fait le tour,","Et la Course des Chars se faisant en ce jour,"
"Et la Course des Chars se faisant en ce jour,",Il fallait affecter ce contretemps de Chasse
Il fallait affecter ce contretemps de Chasse,"Pour mépriser ses jeux avec meilleure grâce,"
"Pour mépriser ses jeux avec meilleure grâce,","Et faire voir… Mais chut, achevons mon récit,"
"Et faire voir… Mais chut, achevons mon récit,",Et reprenons le fil de ce que j’avais dit.
Et reprenons le fil de ce que j’avais dit.,Qu’ai-je dit ?
Qu’ai-je dit ?,Tu parlais d’exercice pénible.
Tu parlais d’exercice pénible.,"Ah ! oui, succombant donc à ce travail horrible ;"
"Ah ! oui, succombant donc à ce travail horrible ;","Car en Chasseur fameux j’étais enharnaché,"
"Car en Chasseur fameux j’étais enharnaché,",Et dès le point du jour je m’étais découché :
Et dès le point du jour je m’étais découché :,Je me suis écarté de tous en galant homme
Je me suis écarté de tous en galant homme,Et trouvant un lieu propre à dormir d’un bon somme
Et trouvant un lieu propre à dormir d’un bon somme,"J’essayais ma posture, et m’ajustant bientôt,"
"J’essayais ma posture, et m’ajustant bientôt,",Prenais déjà mon ton pour ronfler comme il faut
Prenais déjà mon ton pour ronfler comme il faut,"Lorsqu’un murmure affreux m’a fait lever la vue,"
"Lorsqu’un murmure affreux m’a fait lever la vue,",Et j’ai d’un vieux buisson de la forêt touffue
Et j’ai d’un vieux buisson de la forêt touffue,Vu sortir un Sanglier d’une énorme grandeur
Vu sortir un Sanglier d’une énorme grandeur,Pour…
Pour…,Qu’est-ce ?
Qu’est-ce ?,"Ce n’est rien, n’ayez point de frayeur !"
"Ce n’est rien, n’ayez point de frayeur !","Mais laissez-moi passer entre vous deux pour cause,"
"Mais laissez-moi passer entre vous deux pour cause,",Je serai mieux en main pour vous conter la chose :
Je serai mieux en main pour vous conter la chose :,"J’ai donc vu ce Sanglier, qui par nos gens chassé"
"J’ai donc vu ce Sanglier, qui par nos gens chassé",Avait d’un air affreux tout son poil hérissé ;
Avait d’un air affreux tout son poil hérissé ;,"Ces deux yeux flamboyants ne lançaient que menace,"
"Ces deux yeux flamboyants ne lançaient que menace,","Et sa gueule faisait une laide grimace,"
"Et sa gueule faisait une laide grimace,",Qui parmi de l’écume à qui l’osait presser
Qui parmi de l’écume à qui l’osait presser,Montrait de certains crocs… Je vous laisse à penser !
Montrait de certains crocs… Je vous laisse à penser !,À ce terrible aspect j’ai ramassé mes armes ;
À ce terrible aspect j’ai ramassé mes armes ;,Mais le faux animal sans en prendre d’alarmes
Mais le faux animal sans en prendre d’alarmes,"Est venu droit à moi, qui ne lui disais mot."
"Est venu droit à moi, qui ne lui disais mot.",Et tu l’as de pied ferme attendu ?
Et tu l’as de pied ferme attendu ?,"Quelque sot,"
"Quelque sot,","J’ai jeté tout par terre, et couru comme quatre."
"J’ai jeté tout par terre, et couru comme quatre.","Fuir devant un Sanglier ayant de quoi l’abattre,"
"Fuir devant un Sanglier ayant de quoi l’abattre,","Ce trait, Moron, n’est pas généreux…"
"Ce trait, Moron, n’est pas généreux…","J’y consens,"
"J’y consens,","Il n’est pas généreux, mais il est de bon sens."
"Il n’est pas généreux, mais il est de bon sens.","Mais par quelques exploits, si l’on ne s’éternise…"
"Mais par quelques exploits, si l’on ne s’éternise…","Je suis votre valet, et j’aime mieux qu’on dise,"
"Je suis votre valet, et j’aime mieux qu’on dise,",C’est ici qu’en fuyant sans se faire prier
C’est ici qu’en fuyant sans se faire prier,"Moron sauva ses jours des fureurs d’un Sanglier,"
"Moron sauva ses jours des fureurs d’un Sanglier,","Que si l’on y disait, voilà l’illustre place"
"Que si l’on y disait, voilà l’illustre place","Où le brave Moron, d’une héroïque audace,"
"Où le brave Moron, d’une héroïque audace,","Affrontant d’un Sanglier l’impétueux effort,"
"Affrontant d’un Sanglier l’impétueux effort,",Par un coup de ses dents vit terminer son sort.
Par un coup de ses dents vit terminer son sort., Fort bien…
 Fort bien…,"Oui, j’aime mieux, n’en déplaise à la gloire,"
"Oui, j’aime mieux, n’en déplaise à la gloire,",Vivre au monde deux jours que mille ans dans l’histoire.
Vivre au monde deux jours que mille ans dans l’histoire.,En effet ton trépas fâcherait tes amis ;
En effet ton trépas fâcherait tes amis ;,Mais si de ta frayeur ton esprit est remis
Mais si de ta frayeur ton esprit est remis,Puis-je te demander si du feu qui me brûle…
Puis-je te demander si du feu qui me brûle…,"Il ne faut point, Seigneur, que je vous dissimule,"
"Il ne faut point, Seigneur, que je vous dissimule,","Je n’ai rien fait encore, et n’ai point rencontré"
"Je n’ai rien fait encore, et n’ai point rencontré",De temps pour lui parler qui fût selon mon gré :
De temps pour lui parler qui fût selon mon gré :,L’office de bouffon a des prérogatives ;
L’office de bouffon a des prérogatives ;,Mais souvent on rabat nos libres tentatives :
Mais souvent on rabat nos libres tentatives :,"Le discours de vos feux est un peu délicat,"
"Le discours de vos feux est un peu délicat,",Et c’est chez la Princesse une affaire d’État ;
Et c’est chez la Princesse une affaire d’État ;,"Vous savez de quel titre elle se glorifie,"
"Vous savez de quel titre elle se glorifie,",Et qu’elle a dans la tête une Philosophie
Et qu’elle a dans la tête une Philosophie,"Qui déclare la guerre au conjugal lien,"
"Qui déclare la guerre au conjugal lien,",Et vous traite l’Amour de déité de rien :
Et vous traite l’Amour de déité de rien :,Pour n’effaroucher point son humeur de tigresse
Pour n’effaroucher point son humeur de tigresse,Il me faut manier la chose avec adresse ;
Il me faut manier la chose avec adresse ;,"Car on doit regarder comme l’on parle aux grands,"
"Car on doit regarder comme l’on parle aux grands,",Et vous êtes parfois d’assez fâcheuses gens.
Et vous êtes parfois d’assez fâcheuses gens.,"Laissez-moi doucement conduire cette trame,"
"Laissez-moi doucement conduire cette trame,","Je me sens là pour vous un zèle tout de flamme,"
"Je me sens là pour vous un zèle tout de flamme,","Vous êtes né mon Prince, et quelques autres nœuds"
"Vous êtes né mon Prince, et quelques autres nœuds",Pourraient contribuer au bien que je vous veux :
Pourraient contribuer au bien que je vous veux :,"Ma mère dans son temps passait pour assez belle,"
"Ma mère dans son temps passait pour assez belle,",Et naturellement n’était pas fort cruelle ;
Et naturellement n’était pas fort cruelle ;,"Feu votre Père alors, ce Prince généreux,"
"Feu votre Père alors, ce Prince généreux,","Sur la galanterie était fort dangereux,"
"Sur la galanterie était fort dangereux,","Et je sais qu’Elpenor, qu’on appelait mon Père,"
"Et je sais qu’Elpenor, qu’on appelait mon Père,","À cause qu’il était le mari de ma Mère,"
"À cause qu’il était le mari de ma Mère,",Contait pour grand honneur aux Pasteurs d’aujourd’hui
Contait pour grand honneur aux Pasteurs d’aujourd’hui,"Que le Prince autrefois était venu chez lui,"
"Que le Prince autrefois était venu chez lui,",Et que durant ce temps il avait l’avantage
Et que durant ce temps il avait l’avantage,De se voir salué de tous ceux du village :
De se voir salué de tous ceux du village :,"Baste, quoi qu’il en soit je veux par mes travaux…"
"Baste, quoi qu’il en soit je veux par mes travaux…","Mais voici la Princesse, et deux de vos Rivaux."
"Mais voici la Princesse, et deux de vos Rivaux.","Reprochez-vous, Madame, à nos justes alarmes,"
"Reprochez-vous, Madame, à nos justes alarmes,","Ce péril dont tous deux avons sauvé vos charmes,"
"Ce péril dont tous deux avons sauvé vos charmes,",J’aurais pensé pour moi qu’abattre sous nos coups
J’aurais pensé pour moi qu’abattre sous nos coups,"Ce Sanglier qui portait sa fureur jusqu’à vous,"
"Ce Sanglier qui portait sa fureur jusqu’à vous,",Était une aventure (ignorant votre Chasse)
