Word 1,Word 2
soppose,dispose
jour,d’amour
chose,s’oppose
s’oppose,oppose
éternelle,cruelle
cruelle,rebelle
rebelle,fidèle
fidèle,éternelle
bien,rien
guarirui,qui
pazzia,malinconia
malato,disperato
d’allegria,pazzia
pazzia,malinconia
ridete,volete
vicino,vino
su,monsù
monsù,su
male,servitiale
su,monsù
monsù,su
droit,endroit
endroit,droit
auteurs,glossateurs
papinian,tribonian
imole,barthole
policés,sensés
hollandais,polonais
flamands,allemands
embarras,cas
réjouir,plaisir
plaisir,réjouir
réjouir,plaisir
fortune,amoureux
amoureux,heureux
jour,amour
amoureux,heureux
s’assemble,semble
réjouir,plaisir
plaisir,servi
servi,pouvoir
honneur,bonheur
etc,etc
etc,etc
etc,etc
etc,etc
inquiétude,solitude
fâchés,secrètes
secrètes,êtes
êtes,touchés
d’aimer,charmer
charmer,erreur
inhumaines,saines
m’empresse,tendresse
tigresse,aussi
aussi,ainsi
elle,cruelle
turca,danara
danara,comprara
accina,matina
caldara,parlara
parlara,comprara
soupire,rire
turca,danara
danara,comprara
accina,matina
caldara,parlara
parlara,comprara
comprara,bastonara
bastonara,andara
andara,andara
andara,bastonara
adoro,ristoro
nò,morirò
muoro,adoro
adoro,ristoro
nò,morirò
dormite,pensate
pensate,ferite
ferite,fate
fate,fingete
torto,martoro
martoro,adoro
adoro,ristoro
nò,morirò
sguardi,desiri
desiri,sospiri
sospiri,buggiardi
preggiate,m’ingannate
prova,trova
fede,crede
misero,piangere
piangere,libero
libero,ridere
prova,trova
fede,crede
téméraire,voleur
voleur,peur
prison,raison
toucher,croire
croire,boire
boire,lâcher
préparezvous,coups
passer,recommencer
charmant,contentement
belle,polichinelle
polichinelle,polichinelle
polichinelle,polichinelle
polichinelle,polichinelle
pensées,destinée
philis,tircis
bonheur,cœur
extrême,aime
d’appas,hélas
hélas,pas
aime,aime
monde,mien
assujettir,mourir
mourir,consentir
consentir,mourir
flamme,âme
l’efface,glace
glace,place
passetemps,printemps
tendresse,presse
jeunesse,tendresse
attendre,rendre
coûte,redoute
tendrement,amant
s’engage,volage
malheur,douleur
rage,volage
rigueurs,ardeurs
supplices,délices
cœurs,doctores
doctores,professores
argentum,appetitum
confréri,admirari
inventio,professio
trovata,benedicta
solo,miraculo
tempore,vivere
vivere,genere
videmus,sumus
petiti,infatuti
remedios,deos
ordonnanciis,videtis
videtis,sapientiæ
sapientiæ,prudentiæ
travaillare,conservare
conservare,honore
honore,recevere
recevere,corpore
estis,trovabitis
medici,voici
interrogandum,examinandum
præses,doctores
doctores,illustres
illustres,bacheliero
bacheliero,honoro
quare,dormire
dormire,doctore
doctore,quare
quare,dormire
respondeo,eo
assoupire,respondere
respondere,entrare
entrare,corpore
corpore,respondere
præsidis,facultatis
facultatis,actis
actis,assistantis
remedia,maladia
maladia,hidropisia
facere,donare
donare,seignare
seignare,purgare
purgare,respondere
respondere,entrare
entrare,corpore
facultati,præsenti
eticis,asmaticis
facere,donare
donare,seignare
seignare,purgare
purgare,respondere
respondere,entrare
entrare,corpore
maladias,maravillas
præsidem,facultatem
facultatem,honorabilem
honorabilem,écoutantem
écoutantem,questionem
unus,manus
redoublamentis,capitis
côté,difficultaté
respirare,dire
dire,bacheliere
bacheliere,facere
facere,donare
donare,seignare
seignare,purgare
maladia,opiniatria
opiniatria,garire
garire,facere
facere,donare
donare,seignare
seignare,purgare
purgare,respondere
respondere,entrare
entrare,corpore
statuta,præscripta
omnibus,consultationibus
aucunis,facultatis
boneto,docto
medicandi,purgandi
purgandi,seignandi
seignandi,perçandi
perçandi,taillandi
taillandi,coupandi
coupandi,occidendi
folla,ridicula
m’engageare,donare
donare,adjoutare
soleillo,cielo
l’oceano,printanno
moto,remercimento
remercimento,docto
debeo,meo
vivat,parlat
parlat,bibat
bibat,tuat
tuat,doctas
doctas,ordonnancias
chirurgorum,apotiquarum
vivat,parlat
parlat,bibat
bibat,tuat
anni,boni
jamais,verolas
verolas,pluresias
pluresias,dissenterias
vivat,parlat
parlat,bibat
bibat,tuat
torture,torture
martyre,dire
cruauté,tue
tue,combattue
combattue,vérité
vérité,qualité
flamme,blâme
amour,heure
heure,demeure
demeure,cour
comtesse,tigresse
soumis,aime
aime,ennemis
janneton,mouton
soupire,dire
ardeurs,cœurs
loi,foi
cruelle,fidèle
jour,l’amour
l’amour,ardeur
ardeur,heureuse
heureuse,trompeur
trompeur,précieuse
cœur,d’horreur
rencontrer,gloire
croire,trompeur
enflammer,d’aimer
charmes,armes
belle,éternelle
embellie,envie
belle,éternelle
convie,vie
vie,philosophie
versez,assez
sabir,respondir
respondir,sabir
sabir,tazir
mufti,ti
intendir,tazir
giourdina,mattina
mattina,paladina
paladina,giourdina
giourdina,scarcina
scarcina,brigantina
brigantina,palestina
fabola,schiabbola
dara,bastonara
honta,affronta
monsieur,serviteur
crient,prient
prient,charité
charité,côté
côté,faites
céans,bancs
être,d’asbarat
d’asbarat,fat
connaître,papieir
papieir,fifre
fifre,gosieir
gosieir,crieir
crieir,lifre
lifre,ifre
satisfait,laid
fille,gentille
ballet,sujet
famille,s’habille
sommet,met
met,lantriguet
lantriguet,net
satisfait,laid
honte,monte
capital,mal
mal,brutal
brutal,cheval
cheval,animal
principal,palaisroyal
bal,mal
mal,brutal
brutal,cheval
cheval,animal
fracas,chaos
tramontane,dedans
pas,cas
cas,las
las,tracas
tracas,fatras
fatras,embarras
embarras,bras
envie,vie
vie,comédie
comédie,m’estropie
m’estropie,mie
pas,cas
fils,logis
logis,taudis
taudis,assis
assis,ébaubis
ébaubis,partis
salle,halle
halle,régale
six,fils
fils,logis
logis,taudis
taudis,assis
monsieur,serviteur
amor,dolor
adolezco,padezco
padecer,exceder
rigor,amor
amor,dolor
advertida,vida
muerte,fuerte
rigor,amor
dulçura,locura
locura,locura
amar,amor
parecer,querer
alegria,fantasia
puoco,fuoco
piace,vivace
cantiamo,godiamo
gioventù,più
retour,séjour
séjour,l’amour
climène,chêne
amoureux,vœux
heureux,deux
deux,veux
veux,eux
goûtonsnous,doux
contester,l’emporter
miracle,d’obstacle
bien,rien
affaires,contraires
fatal,rival
désespérer,rassurer
fertile,difficile
misérables,incomparables
invective,captive
sentiments,charmants
visage,témoignage
bas,pas
chimères,affaires
dit,s’aigrit
manière,visière
vous,l’époux
mariage,sage
choix,lois
puissance,obéissance
éclatera,régalera
rhétorique,politique
fâcher,salaires
salaires,affaires
dit,l’esprit
l’encolure,nature
certain,humain
père,faire
chagrins,badins
envie,vie
vie,servir
servir,ravir
paraître,naître
naître,déclarer
déclarer,préparer
tête,conquête
inventions,prétentions
affaire,nécessaire
mesurés,m’abuse
ruse,une
dire,pire
frivoles,pistoles
rêver,trouver
trouver,esclave
esclave,brave
ici,souci
attendre,vendre
vécu,d’écu
pas,ducats
ressource,bourse
moment,sentiment
elle,sentinelle
repos,propos
vue,pourvue
pourvue,yeux
yeux,lieux
étonne,personne
outragé,congé
injure,blessure
haut,faut
célie,bien
cruelle,troubler
troubler,parler
talonne,personne
garçon,soupçon
luimême,extrême
humilité,vanté
serviteur,peutêtre
peutêtre,connaître
l’avenir,l’entretenir
l’entretenir,diablerie
diablerie,magie
sers,fers
fers,dévore
dévore,adore
adore,trésor
trésor,encor
misérable,redoutable
amoureux,heureux
bouche,touche
jour,amour
soupire,instruire
l’adversité,fierté
fierté,connaître
connaître,naître
doux,tous
magique,pique
dessein,vain
prendre,rendre
rendre,gouverneur
gouverneur,gagner
gagner,malheur
malheur,éclaire
éclaire,faire
faire,inquiéter
inquiéter,visiter
fidèle,elle
liberté,arrêté
arrêté,bête
croire,contradictoire
pas,sais
manigance,licence
fort,d’accord
flatterie,compagnie
étourdi,dis
l’entendre,surprendre
coupable,irréparable
mains,desseins
belle,criminelle
l’argent,agent
agent,autre
autre,nôtre
bien,sien
sien,emploie
emploie,joie
l’accouchement,agréablement
rendre,prendre
dus,rendus
proie,voie
caresser,bercer
nérine,assassine
cœurs,ardeurs
celées,dissimulées
vieux,yeux
mettable,désagréable
quoi,époux
veut...,veut...
verras,pourras
faire,adieu
adieu,conduise
conduise,sottise
froideur,ardeur
nouvelle,zèle
veux,vœux
elle,bagatelle
argent,présent
mode,l’accommode
bien,sien
tombée,dérobée
obligeant,argent
l’heure,meure
lui,aujourd’hui
extrême,même
fait,français
français,dois
laisse,presse
danger...,...
captive,prive
deviné,raffiné
l’affaire,luminaire
repos,propos
peutêtre,maître
maître,effets
faire,colère
main,fine
fine,j’imagine
j’imagine,justement
maître,l’être
tout,bout
l’avertir,partir
querelle,rebelle
rebelle,criminel
criminel,paternel
paternel,querelle
poussée,pensée
l’appui,aujourd’hui
opprimée,confirmée
serviteur,précepteur
davantage,sage
père,considère
cœur,d’honneur
d’honneur,répondre
répondre,confondre
cœur,d’honneur
maîtresse,hardiesse
prudence,assurance
assurance,bien
trahis,fils
touche,bouche
rendre,surprendre
discours,cours
idolâtrée,contrée
trufaldin,matin
remettre,promettre
promettre,coûter
coûter,écarter
range,change
résolu,voulu
caprice,préjudice
fort,effort
funeste,reste
service,artifice
soupçonné,donné
d’attendre,léandre
léandre,m’obliger
m’obliger,dégager
dégager,père
père,contraire
moyen,bien
prompte,monte
non,démon
ouvrage,m’outrage
m’éblouir,d’ouïr
artifice,service
fard,vieillard
célie,lélie
invention,passion
gendre,léandre
offices,caprices
hauteur,d’imposteur
commise,entreprise
rigoureusement,mouvement
mouvement,puissance
puissance,offense
promets,cesse
cesse,confesse
cœur,l’honneur
l’honneur,injures
injures,blessures
chose,propose
hardis,dis
épines,machines
manquerait,ferait
ferait,ingrate
ingrate,flatte
toi,moi
merveille,pareille
poussé,renversé
joie,proie
rencontré,frustré
l’atteinte,crainte
crainte,retenue
trois,croix
incurable,favorable
livrer,sevrer
sevrer,encore
encore,pécore
pécore,loupgarou
loupgarou,cou
hôtellerie,furie
furie,rendre
rendre,défendre
défendre,laisser
laisser,m’embarrasser
mascarille,fille
été,sûreté
sûreté,tente
tente,attente
excuserons,désirons
éclate,flatte
stratagème,extrême
contents,j’entends
apoplexie,vie
trépas,pas
artifice,édifice
encor,trésor
campagne,l’accompagne
aujourd’hui,lui
engage,personnage
mot,sot
voie,joie
amoureux,heureux
heureux,excuse
excuse,ruse
d’approuver,arriver
parole,rôle
fort,sorte
sorte,tort
incartade,malade
bosse,fosse
transport,mort
hypocondre,semondre
soir,voir
assassine,mine
salutaire,père
sort,mort
affaires,guères
guères,quartiers
quartiers,papiers
l’instance,violence
monde,réponde
écueil,l’œil
forte,sorte
matin,chemin
homme,rome
humains,desseins
prières,meurtrières
meurtrières,passe
prêcher,arracher
arracher,persévère
persévère,modère
humeur,serviteur
serviteur,nécessaire
douleur,malheur
bonhomme,somme
rien,bien
propos,mots
contenter,désattrister
allégeance,assurance
d’ennui,lui
traverses,diverses
frémis,endormi
endormi,amaigrie
amaigrie,prie
mort,transport
amène,peine
peine,véritablement
véritablement,compliment
prières,guères
l’instant,content
bonté,santé
part,gaillard
folie,vie
voir,apercevoir
nouvelle,mortelle
mortelle,éveillé
vôtre,autre
grandir,laidir
figure,conjoncture
naïveté,crédulité
badinage,davantage
supposé,désabusé
légitime,fourbissime
remords,ressorts
supercherie,jolie
jolie,lui
lui,aujourd’hui
conte,honte
retirer,enterrer
enterrer,l’enclouure
l’enclouure,l’aventure
souci,ici
prendre,pendre
vaurien,bien
bien,grise
grise,sottise
rapport...,vois...
visite,quitte
quittera,nourrira
franchise,méprise
beaux,faux
place,audace
façon,soupçon
pendre,reprendre
crois,montrezlesmoi
tout,oui
raccroche,poche
rien,bien
beaupère,manière
manière,discret
discret,regret
regret,dire
partout,bout
brave,esclave
étonné,tourné
l’injustice,seraitce
seraitce,l’artifice
prêtait,doutait
égal,mal
arrive,captive
là,cela
indifférence,d’imprudence
pas,trépas
vraisemblable,véritable
louer,l’avouer
considérable,secourable
loisir,fils
mascarille,lélie
devis,habits
d’effectuer,tuer
ensemble,tremble
peut,veut
récompense,impatience
vous,doux
projette,faite
desseins,vains
d’atteinte,crainte
rival,mal
m’assomme,d’homme
fait‐on,bâton
bagatelle,cruelle
pourrai,vengerai
confonde,monde
d’honneur,serviteur
gaules,épaules
venger,m’engager
m’engager,sorte
sorte,m’emporte
m’emporte,transport
transport,fort
fidèle,zèle
toi,moi
propice,service
contentements,châtiments
défaut,vaut
paraître,maître
maître,volonté
volonté,apporté
apporté,d’hippolyte
d’hippolyte,l’irrite
lui,d’autrui
choisie,célie
moyens,miens
favorable,aimable
raison,maison
assurance,connaissance
souhaité,beauté
vue,rendue
conduiras,pas
nouvelle,cruelle
l’apprendre,attendre
façon,garçon
joie,voie
mal,rival
s’apprête,tête
d’or,imperator
connue,venue
voilà,là
ici,voici
due,vendue
retirer,murmurer
impatience,espérance
vains,mains
désire,lire
lire,venir
venir,tenir
d’avoir,espoir
d’espagne,accompagne
accompagne,commencement
commencement,événement
inspire,dire
sujet,l’objet
cries,fourberies
fourberies,adroits
adroits,parfois
l’imaginative,vive
part,part
imaginative,vive
rival,mal
moimême,stratagème
cas,bas
qu’estce,patience
patience,diligence
trufaldin,destin
célie,ravie
moins,soins
elle,zèle
remise,prise
falot,sot
diable,capable
dextérité,concerté
concerté,mérite
mérite,petite
relevé,achevé
achevé,imaginative
imaginative,vive
avoir,savoir
prose,propose
jours,rebours
débauche,gauche
étourdi,dis
panégyrique,pique
point,point
mystère,faire
faire,exercer
exercer,forcer
forcer,comprendre
comprendre,rendre
entretien,rien
l’avoue,dénoue
sortir,divertir
violence,impatience
difficulté,subtilité
estime,sublime
d’occasions,d’inventions
d’inventions,chose
chose,pause
enrager,l’obliger
l’obliger,claire
claire,contraire
contraire,déchanter
déchanter,arrêter
artifices,édifices
moins,soins
chance,assistance
mal,rival
poursuite,médite
ingénieux,glorieux
combattre,opiniâtre
dédit,récit
mystère,père
lieux,facétieux
lélie,célie
trufaldin,badin
ruse,désabuse
bien,rien
aimable,adorable
l’acquérir,courir
destinée,l’hyménée
enfin,destin
amorces,forces
dites‐vous,murmurestu
murmurestu,vertu
s’altère,taire
taire,parle
charitablement,aveuglement
qu’inhumaine,peine
tout,bout
prude,certitude
métier,gibier
grimace,place
savoir,voir
sorte,m’importe
dessein,main
zèle,elle
l’hameçon,bon
épine,m’assassine
vois,moi
visage,davantage
cause,chose
desseins,vains
caresses,finesses
tout,quoi
quoi,bout
comprendre,entendre
bien,rien
profanée,abandonnée
bon,soupçon
fortunes,communes
commun,importun
elle,mortelle
lâcheté,divinité
répugnance,l’offense
part,pendard
compétent,condamne
médire,rire
non,bâton
pareilles,oreilles
dit,maudit
impostures,morsures
vertu,abattu
industrie,raillerie
soit,payerait
blâme,l’âme
faits,vais
vais,pas
confesse,d’adresse
point,point
sorte,emporte
sensé,offensé
présence,puissance
puissance,gens
découvrir,mourir
valet,nôtre
nôtre,vôtre
doucement,conter
conter,gâter
donne,bonne
commis,mis
violence,outrance
coups,vous
affaires,qu’imaginaires
non,bon
soupçonne,pardonne
désabusé,imposé
hypocrite,quitte
s’appeler,serviteur
accompagne,campagne
faisons,médisants
artifice,service
allé,dissimulé
adresse,maîtresse
rapports,transports
désabuse,ruse
bout,tout
imaginative,vive
foi,roi
attentes,tentes
tentes,sorte
pis,dépits
chose,close
vert,expert
expert,aventures
aventures,mesures
mesures,penser
penser,traverser
facilement,premièrement
premièrement,ensuite
ensuite,conduite
pas,bras
frappée,d’épée
dégainer,donner
père,colère
nous,vous
feintes,atteintes
condition,réflexion
lumière,matière
fâché,recherché
demeure,d’heure
après,décrets
envie,poursuivie
fatigues,intrigues
lutin,enfin
être,maître
maître,parti
parti,averti
persuade,mascarade
soir,voir
voir,joie
joie,proie
fourré,enferré
pourvue,vue
vue,d’heureux
d’heureux,amoureux
amoureux,commune
commune,fortune
pas,pas
prise,l’entreprise
éventé,côté
côté,poursuites
poursuites,suites
l’éclat,chat
frères,guères
travail,d’attirail
usage,partage
nés,donnés
mascarade,brigade
m’arrêter,conter
conter,partie
partie,bâtie
hasard,part
nouvelle,fidèle
touche,souche
souche,aspect
aspect,porte‐respect
personne,bonne
voir,soir
soir,pourquoi
mascarade,aubade
dieux,lieux
fenêtre,paraître
surprendre,apprendre
momon,mignon
outrage,visage
d’ici,merci
autre,nôtre
nôtre,averti
averti,travesti
masque,frasque
imaginative,prive
prive,voueraije
d’enfer,fer
allons,talons
sorte,porte
plaisir,loisir
célie,supplie
supplie,parler
parler,régaler
inquiète,cassolette
cassolette,gâté
gâté,côté
côté,sorte
sorte,morte
revenir,tenir
puissance,reconnaissance
dessein,sottise
sottise,surprise
sire,dire
surprendrait,endroit
avance,naissance
peu,jeu
regarde,garde
discours,jours
infâme,âme
longuement,paisiblement
envie,vie
vie,ravir
ravir,servir
certaines,peines
m’ôtât,héritât
tendresse,maîtresse
vœux,deux
belle,elle
jour,retour
dite,construite
fois,trois
suffisance,circonstance
l’effort,fort
dure,aventure
civile,ville
état,éclat
laissées,trépassées
ennui,lui
race,horace
instruit,conduit
donne,personne
horace,trace
seulement,fondement
fondement,d’arménie
d’arménie,turquie
trouvé,rêvé
ordinaire,corsaire
rendus,perdus
sorte,qu’importe
qu’importe,conter
conter,racheter
racheter,nécessaire
nécessaire,père
arrivés,étendues
étendues,superflues
fait,trait
chagrine,mine
savoir,voir
l’esclavage,visage
image,passage
moment,grandement
barbarie,voir
voir,soir
inutile,ville
rien,bien
bien,l’imaginative
l’imaginative,craintive
trufaldin,citadin
honte,compte
approchant,couchant
donne,s’abandonne
yeux,précieux
flamme,âme
voici,adouci
songes,mensonges
seigneur,bonheur
dispense,ressemblance
ressemblance,arménien
disais,parfois
fonde,monde
moi,fois
fois,crois
visage,image
tunis,fils
habitude,rude
dire,lumière
lumière,père
peu,jeu
égale,salle
savoir,avoir
avoir,joie
joie,envoie
emprunté,clarté
agréable,haïssable
discours,cours
conduite,mérite
fils,commis
dure,aventure
bâiller,peutêtre
peutêtre,repaître
repas,pas
arménie,cérémonie
surpris,esprits
discours,jours
fille,famille
bien,rien
pure,aventure
aventure,amour
amour,jour
risée,exposée
capricieux,lieux
lieux,coureuse
coureuse,gueuse
moi,vois
vois,promise
promise,méprise
abaissement,aveuglement
heures,meilleures
beauté,solennité
défense,jouissance
mouvements,emportements
agréables,durables
cours,jours
jours,misères
misères,pères
écouté,représenté
insigne,indigne
combattu,vertu
porte,sorte
surpris,débris
grandes,réprimandes
hérétiques,authentiques
soleil,nonpareil
nonpareil,s’oublie
s’oublie,bouillie
bords,dehors
retenue,entretenue
pas,repas
matière,entière
voir,seoir
elle,prunelle
servait,buvait
verre,terre
terre,d’affecter
d’affecter,porter
porter,délicate
délicate,patte
souris,gris
table,insupportable
pressants,innocents
querelle,belle
corps,efforts
boule,roule
actions,contorsions
choses,causes
fois,lois
d’horace,grâce
secret,indiscret
indiscret,faire
faire,guère
savoir,fort
fort,sort
admirable,raisonnable
d’ardeur,grandeur
gaules,épaules
massif,préparatif
apôtre,autre
déguisé,supposé
d’excuse,ruse
main,vain
fillole,parole
dit,maudit
affronte,conte
conte,vérité
vérité,assisté
large,décharge
bien,rien
rien,l’arménie
aujourd’hui,lui
contrée,entrée
coquin,ainsi
content,éclatant
traître,maître
dos,propos
jeannette,indiscrète
courroux,vous
haute,faute
déloyal,mal
folle,idole
pas,cas
célie,sortie
sortie,caquet
caquet,piquet
admirables,misérables
toi,l’emploi
artifice,complice
doucement,exactement
utile,bile
foi,moi
moi,voie
voie,joie
suis,nuits
rudesse,promesse
repos,dos
trace,disgrâce
d’ici,souci
tiendrai,prendrai
nouvelle,cruelle
égyptien,bien
hâve,esclave
zélé,parlé
nôtre,autre
point,point
espérance,balance
autorité,traité
traité,funeste
funeste,reste
art,départ
nécessaire,affaire
affaire,rien
rien,bien
frivole,drôle
altérés,délibérés
paraguante,tente
profit,délit
cervelle,éternelle
balafré,coffré
luimême,stratagème
honteusement,cautionne
cautionne,personne
recors,corps
fuite,suite
suite,égyptien
égyptien,bien
bien,m’oblige
m’oblige,prodige
persuadé,possédé
conduire,nuire
coups,nous
intelligence,répugnance
occasion,l’exécution
bienséance,licence
réglé,clé
d’aventures,figures
cœur,ardeur
âge,courage
moi,emploi
chose,métamorphose
changement,amant
indifférence,persévérance
séparé,auguré
peine,égyptienne
sort,fort
naufrage,otage
d’intérêt,plaît
tristesse,l’allégresse
appas,combats
vivre,suivre
suivre,n’ambitionnera
n’ambitionnera,plaira
éclate,ingrate
émotion,occasion
violence,puissance
jours,cours
diffère,plaire
repos,propos
ombrage,fissage
tarchant,méchant
cela,file
file,file
moment,promptement
promptement,prête
pon,maisson
impatiente,attente
oser,disposer
disposer,demeure
demeure,l’heure
appartient,tient
j’augure,aventure
aventure,secret
secret,discret
discret,paraître
paraître,être
dis,ourdi
égyptienne,j’obtienne
l’appelez,célie
doute,coûte
permettre,mettre
occasion,intention
nullement,maître
maître,bissêtre
reconnu,bienvenu
maquerille,fille
foi,moi
maître,connaître
point,point
demander,appréhender
extrême,moimême
feu,peu
ravie,suivie
déguisement,événement
événement,l’épouvante
l’épouvante,surprenante
beaucoup,coup
l’ouvrage,sage
parlé,égalé
égalé,redevable
redevable,condamnable
rigueur,cœur
jette,dette
pas,pas
envie,célie
célie,bien
plus,superflus
détestable,incapable
malencontreux,heureux
imprudence,assistance
destin,enfin
sottises,commises
appui,lui
victoire,gloire
combattu,vertu
propose,chose
persuader,s’accorder
s’accorder,nôtre
nôtre,l’autre
puissance,reconnaissance
secrets,intérêts
âme,flamme
moi,foi
violence,évidence
devoir,d’espoir
obstacles,miracles
puissants,sens
salutaire,faire
lieux,yeux
belles,infidèles
échapper,frapper
offertes,pertes
pas,appas
vôtres,autres
tous,vous
raillerie,prie
prie,bien
bien,rien
charmes,alarmes
avancé,passé
célie,lélie
aveuglement,aisément
souhaitable,capable
défendre,surprendre
feux,vœux
colère,père
surprenant,maintenant
bien,rien
défigurée,considérée
injurieux,furieux
flèches,sèches
sèches,d’arracher
cheveux,affreux
affreux,murmure
murmure,d’aventure
assez,poussés
tempête,tête
humeur,rumeur
rumeur,émue
émue,vue
vue,yeux
yeux,lieux
lieux,opportune
opportune,fortune
instant,tant
famille,fille
traits,attraits
sorcière,familière
familière,malheur
malheur,douleur
vie,ravie
fâcheux,deux
deux,connue
connue,devenue
voix,fois
visage,langage
heureusement,vainement
vainement,reconnaître
reconnaître,être
fils,finis
inquiétudes,études
lieux,curieux
envie,patrie
plus,confus
peines,vaines
vaines,maison
maison,nom
affaires,ordinaires
